reading from file /dataset-final/T08/20260903-134105-622/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
08:11:20.684216 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x1,icv=0xc630545ce8b86f5503436a39b1760bcc): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40852, seq 1, length 64
08:11:20.684456 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x1,icv=0x0a532e4171a461276657535d3855ccae): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40852, seq 1, length 64
08:11:21.685027 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2,icv=0x71ff03f37b182f58168ecf5a13c93ace): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40852, seq 2, length 64
08:11:21.685126 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x2,icv=0xf21f5f433d388806436bbfb42294f29a): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40852, seq 2, length 64
08:11:22.708866 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x3,icv=0xf9e62395f9061da5ced3063dc9130b67): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40852, seq 3, length 64
08:11:22.708936 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x3,icv=0xa40f8461e3609338214d189fb2808538): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40852, seq 3, length 64
08:11:23.732702 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x4,icv=0x06629ff2597137b7718c89d0899cb87e): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40852, seq 4, length 64
08:11:23.732770 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x4,icv=0xc3de36d50256d7a10e6d0e923c8be32b): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40852, seq 4, length 64
08:11:24.756791 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x5,icv=0x54ef2ae3b2e77fa11cdac85a7ac5b0b0): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40852, seq 5, length 64
08:11:24.756841 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x5,icv=0x384f7a649d52480c3ca8f6d062021b39): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40852, seq 5, length 64
08:11:24.925923 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6,icv=0x2c694c96e999d0883eb108b7c7e0e278): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40853, seq 1, length 54
08:11:24.925963 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x6,icv=0xe0530697780f70bb2b0453629876d51d): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40853, seq 1, length 54
08:11:25.620824 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x7,icv=0x2fe1dafbd8c91d2c923e0e3e66db351a): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40853, seq 2, length 54
