reading from file /dataset-final/T08/20260903-134245-170/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
08:12:47.383025 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2c2,icv=0x6e92cf272c4b25a8f6ff649dc577600c): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.383093 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x3e,icv=0x43a8f233f6bb17a26db20ddc45d3a172): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:12:47.401515 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2c3,icv=0x4e60e7180e9782696e463c859f5a575c): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.401563 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x3f,icv=0xdfbd8211af1590727aad6664c94eb847): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:12:47.418295 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2c4,icv=0x4b6fd5d80aff62131064ed88498c7cca): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.418329 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x40,icv=0x721de64fbd7d2491c1d80bbefb9e76fb): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:12:47.439099 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2c5,icv=0xb376db1d3642b1b530b6857b6489c1b2): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.439127 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x41,icv=0xb8da414d8e90b6261777f6a987cd427a): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:12:47.458292 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2c6,icv=0x3ee073fcc6c911d5fc198214a94b5d9a): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.458322 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x42,icv=0xd7420e9b955a6d7234d09a8da9b118e1): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:12:47.472650 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2c7,icv=0x42e67df8d52a66837f4f47a68f99121a): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.472692 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x43,icv=0x58ac732829f0944eb2dcb9bd7583316a): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:12:47.480939 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2c8,icv=0x2d8a67931678702ae97e9cfdd5776c36): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.494070 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2c9,icv=0x8c2c73a80ac112b31f65ba3d9ff3c209): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.502803 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2ca,icv=0xabdefa22d356e2cbee284ca057415077): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.508850 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2cb,icv=0x6a8089bc4446aeb6ec365c1b43d536d1): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.513361 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2cc,icv=0x0b600a06dcf6e53f2cbeb4b2d900fa5e): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.531735 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2cd,icv=0x03d1ee3621a4f167ca134e8556263c79): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.541014 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2ce,icv=0xa7bf64a251e91bee99376f5611d4b659): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.545737 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2cf,icv=0x68c72dd0685ee371796b9c0387e3fecb): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.558634 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2d0,icv=0x1961818ccb2f0e717b535610837ac9d6): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.560647 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2d1,icv=0xa8509212ffecc11f7f19586fc1f39d49): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.577101 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2d2,icv=0xf72c5bc7fe1232467d951c671c447dce): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
08:12:47.578963 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x2d3,icv=0x8f2da7f1337fc89042e4f3baf096c920): IP 10.77.8.10.41992 > 10.77.9.10.5002: UDP, length 1078
