reading from file /dataset-final/T08/20260903-134501-919/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
08:15:03.035818 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6bc,icv=0x0656288abc4f12632407aa39a5ddd799): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.035871 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x99,icv=0xd755b56a085a1217276755af4e030f84): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 124
08:15:03.059792 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6bd,icv=0xa2167337e9c3d124ea838bf5f8a784a0): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.059899 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x9a,icv=0xcfb54c06f20a75d2b57cab0d95d97a36): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 124
08:15:03.083833 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6be,icv=0xebcd5b732ddeba2764db507b6f604348): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.083880 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x9b,icv=0xbea31c1315ea8a4440dfa2632b14e16f): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 124
08:15:03.110538 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6bf,icv=0xfd00f7ced2d3a874694f1504cd28e5e2): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.110606 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x9c,icv=0x127030d9f9bc09cdfb53c70361179a19): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 124
08:15:03.130413 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6c0,icv=0x1d0c1d88f7a38ce8af9555ef8d91e13c): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.130461 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x9d,icv=0xa2117dab83db281f6a208bc88dece28c): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 124
08:15:03.143204 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6c1,icv=0x0e12e395bc24b9f8c454d12627e96a77): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.143270 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0x9e,icv=0x3a1b2fb59ebf98c81284085a70fe1838): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 124
08:15:03.164386 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6c2,icv=0x5f4f947cfdb7b49218ff6fce92b81f70): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.180214 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6c3,icv=0x72c165935d1a18f4d0287c9aafd62c9e): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.200158 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6c4,icv=0xd93a777d27d2eb09fb8b5b6aebf28802): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.207959 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6c5,icv=0xa1b1f2d715e9fada873170bfbefdee7a): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.230714 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6c6,icv=0xba66a3283908f28a1ab76b798bea7340): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.235219 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6c7,icv=0x851c84289eb5abafb7e183d9b28af5b2): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.252603 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6c8,icv=0xa83ef30282ce9a94536d5c8617949a22): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.267450 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6c9,icv=0x06b2c6552c2dc40e8198d9c34cd9975c): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.284226 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6ca,icv=0x70b7d2c09ca23e4c7bb618b2b2fb4dba): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.298821 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6cb,icv=0xe204f3e32dd7c6ec5c66779504878c50): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.320825 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6cc,icv=0xad8bb6e1acc69e881f355f80ca623dad): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.326651 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6cd,icv=0x0b46f7e0e0e10c478c4ae2e75e75fff8): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.341495 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6ce,icv=0x42619a5a088bf31a096ab4cf7e765f5f): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.345473 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6cf,icv=0x9d3ccc7b92e152490a55e3c4a1f3d190): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.356064 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6d0,icv=0xcfbff422d2211cd6bf198bfe423efd74): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
08:15:03.364109 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x6d1,icv=0x349bbd575a6d5bd74b67cbc41117ddff): IP 10.77.8.10.57201 > 10.77.9.10.5001: UDP, length 88
