reading from file /dataset-final/T08/20260903-134521-235/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
08:15:22.880953 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x92d,icv=0xa1e51115a9d964378fecc9ffe68c2ffd): IP 10.77.8.10.56754 > 10.77.9.10.5002: UDP, length 1164
08:15:22.881007 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xaa,icv=0x3fbd5a0011c05a0d4490496db31585f5): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:15:22.882714 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x92e,icv=0xd9c4fd727299613badfd68557d25b447): IP 10.77.8.10.56754 > 10.77.9.10.5002: UDP, length 1164
08:15:22.882739 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xab,icv=0x57826d5c6794378238001f1f9c0b9aff): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:15:22.898001 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x92f,icv=0x185696b634fde5570eff9f80d74da488): IP 10.77.8.10.56754 > 10.77.9.10.5002: UDP, length 1164
08:15:22.898042 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xac,icv=0xc94e499f93738b6f6d068d0ec91939a8): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:15:22.909608 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x930,icv=0xf3d2cbb1463f924127313db7f2be762c): IP 10.77.8.10.56754 > 10.77.9.10.5002: UDP, length 1164
08:15:22.909650 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xad,icv=0x58432b849d7d49c23f775f3010ede725): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:15:22.925400 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x931,icv=0x16c2a6034e8cf4fca530b8e2f7ffa1b3): IP 10.77.8.10.56754 > 10.77.9.10.5002: UDP, length 1164
08:15:22.925466 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xae,icv=0xabbc8406d410a0159beef1832ddff60b): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:15:22.945245 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x932,icv=0x9de213880efc9ad83ce9c243fefdefd0): IP 10.77.8.10.56754 > 10.77.9.10.5002: UDP, length 1164
08:15:22.945296 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xaf,icv=0x14325da1151c3c38b8e991668c7a811b): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:15:22.951572 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x933,icv=0x817f4e08dd7c1d235473e969d8b0e124): IP 10.77.8.10.56754 > 10.77.9.10.5002: UDP, length 1164
08:15:22.955697 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0x934,icv=0x61295d14c3c9e06afa7e99d938cfea9d): IP 10.77.8.10.56754 > 10.77.9.10.5002: UDP, length 1164
