reading from file /dataset-final/T08/20260903-134543-139/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
08:15:44.869573 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd4c,icv=0xe73a77ae92906cb088cf8306dd43b285): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40858, seq 1, length 64
08:15:44.869615 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xba,icv=0x5a95d782441e09221370cb6906e582ae): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40858, seq 1, length 64
08:15:45.894165 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd4d,icv=0xbe3d6b2139a609488507e15910962407): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40858, seq 2, length 64
08:15:45.894261 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xbb,icv=0x631b809b1d358323661c9f20b1f30ae1): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40858, seq 2, length 64
08:15:46.918180 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd4e,icv=0xc6ac5f8a61ea4d9a21d3d6eba0ead4ea): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40858, seq 3, length 64
08:15:46.918253 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xbc,icv=0x49f76a98e7c6419c396849d5ef1b7cde): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40858, seq 3, length 64
08:15:47.940390 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd4f,icv=0x16307caf5b8ae0e64b5bc62a3621b1c4): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40858, seq 4, length 64
08:15:47.940466 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xbd,icv=0xfbc4c61031a9f9ad6ae13630c4f4857d): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40858, seq 4, length 64
08:15:48.964307 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd50,icv=0xabfdc1b7a3bc638757eb01e1459e9d5f): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40858, seq 5, length 64
08:15:48.964388 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xbe,icv=0xb5631f79d0c900dbeafe17c672caa0f0): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40858, seq 5, length 64
08:15:49.141096 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd51,icv=0xe516219f3c72e60f62ddfcf33cbeb171): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40859, seq 1, length 28
