reading from file /dataset-final/T08/20260903-134623-682/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
08:16:25.483150 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd6f,icv=0x74b122c906bf8275446821dc355ec451): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.483187 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xdd,icv=0x83be614cbb9ea299aa2aa604725c71d5): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 120
08:16:25.502852 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd70,icv=0x29a9e420ad68bb3811055f04767f7bda): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.502897 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xde,icv=0x6dd8c9c8d54caff855b7d286f8eae851): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 120
08:16:25.528316 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd71,icv=0x28bc3d697b3b361e1cfd78eb5c1a9b6e): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.528367 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xdf,icv=0x3b070f3f0c144d6aa4f3333c5290ee4a): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 120
08:16:25.550240 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd72,icv=0xe3da3855bc506a636af5b4e52b39b71f): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.550323 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xe0,icv=0xcd19736e4a797b03b0b479cc0489a98a): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 120
08:16:25.582177 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd73,icv=0xa038dd7d8f683329982817d133af11bd): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.582264 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xe1,icv=0xe41b3ffc8cbdd13d874db4b262b07e66): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 120
08:16:25.605731 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd74,icv=0xcc628993450ae3229df5437336e749da): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.605776 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xe2,icv=0xc4d89b4d9fe402988bf65c3c7e27eae2): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 120
08:16:25.628051 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd75,icv=0xabe96318bfe4b3f43f1da24901ed8558): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.657928 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd76,icv=0x4bd9b47266264706b2acfc510d46f550): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.678983 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd77,icv=0x4389136e9254e30cd12f3cc6f2769e06): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.700390 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd78,icv=0x9db964f6423d3ae9773cd9bd217b1f1d): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.730655 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd79,icv=0x6b2b9a71ba88b25b721574cdd8b18512): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.754702 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd7a,icv=0xba181d2812a76b7f1b068526a259898f): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.778452 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd7b,icv=0xee02c1b7d7b9299a0dd32a942957808d): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.800025 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd7c,icv=0x1c7dc5548386129bc68e4ffdc3c2f1f4): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.831520 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd7d,icv=0x976cbad41a6f4ba4f6a9f8abe96a4d8d): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
08:16:25.862783 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xd7e,icv=0x853c69ecbc193d9097507f0b2d09855a): IP 10.77.8.10.36059 > 10.77.9.10.5001: UDP, length 84
