reading from file /dataset-final/T08/20260903-134642-804/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
08:16:44.195445 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf00,icv=0x99319729da4479100918531fea1a8c00): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.195497 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xec,icv=0x339ffc1c449d41c99b1def4a9d4d0a44): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:16:44.199659 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf01,icv=0x08d941ff2046f62dc195212779b3b121): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.199695 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xed,icv=0x9df346fc456ff1198861d97256f2b816): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:16:44.208410 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf02,icv=0xfe7a5213fd50c516b68e75ca6ff43986): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.208444 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xee,icv=0x6e46c7f5ccf034d192b4dd48e343c8fb): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:16:44.216917 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf03,icv=0x1c691a7f8358133af4b34004a99e1bfc): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.218697 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xef,icv=0xf6ebe6dddd407f946bcc9b13e04455ae): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:16:44.224848 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf04,icv=0x16e7122afbfcb913dac27cd5bb72b155): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.224893 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xf0,icv=0xdad93ce0618540bac4de63afcf3e8c05): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:16:44.228398 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf05,icv=0x8bae6dbc8b3176cd47d6789f42353400): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.228435 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc63bb5a1,seq=0xf1,icv=0x939dc074c2751100cc3344be2af57c93): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:16:44.242471 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf06,icv=0x461e9c7f78a8acd953659b39ec5f9661): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.255966 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf07,icv=0x1a5fc83c298647db699f09d4c1448534): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.263811 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf08,icv=0x7481e20d3b6c3b79486c39f587e16f7c): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.277071 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf09,icv=0x088a00217e5d3d574b9195212dda9c74): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.284857 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf0a,icv=0x9a37f9031bc5448ad8d4cef915bf8a8f): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.286203 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf0b,icv=0x1213763761b25d280458a6f51ae60957): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.289447 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf0c,icv=0x1832dd182ebe82c8238a7d18d708b36f): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.303849 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf0d,icv=0x1976355224f7bc4a02cf9479c08aa0a0): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.309433 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf0e,icv=0x973e30079efdff733cccb9fc2df3bccb): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.319459 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf0f,icv=0xe5b407f5219f56089c5c5b93154d989f): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.326926 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf10,icv=0x0a0a6b376e22bf5c7e2ad7ae6c73cdcc): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.334195 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf11,icv=0x9e15a3b2f7536a9bce59910e0745e172): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.348059 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf12,icv=0xdee63db12537884eaa6cb896e87fcf2b): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.366129 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf13,icv=0xc86d8ffc53597d8e78afd8ff1c37c04a): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.373188 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf14,icv=0xb544f1b89365dd17476986826cea6aef): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
08:16:44.378587 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcdd39429,seq=0xf15,icv=0x295b1736bd7fcd425e29d80331fcebce): IP 10.77.8.10.60247 > 10.77.9.10.5002: UDP, length 1209
