reading from file /dataset-final/T08/20260903-140420-328/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
08:34:33.794774 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x1,icv=0xd262c604d23265cf38ebe02fc0e2729f): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40874, seq 1, length 64
08:34:33.794825 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x1,icv=0x24b6ecec9019e30708d3bafb69dee696): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40874, seq 1, length 64
08:34:34.802384 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x2,icv=0x2b748119a146a23667539d32c91cc560): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40874, seq 2, length 64
08:34:34.802482 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x2,icv=0xf995aa2d7aebfc850d9a4c2b805dc95e): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40874, seq 2, length 64
08:34:35.826551 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x3,icv=0x68d05bfe3fdf02f1b984837dbd7c16fe): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40874, seq 3, length 64
08:34:35.826664 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x3,icv=0xf09e8f77b07905924665ece16b862805): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40874, seq 3, length 64
08:34:36.850579 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x4,icv=0x3d1b5474e184314d319d69e0b97db7c4): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40874, seq 4, length 64
08:34:36.850645 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x4,icv=0x80be40fcd643f9d87e2dc447b28ffa45): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40874, seq 4, length 64
08:34:37.874506 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x5,icv=0x06a554c1b890e311dc9d4b1418134b61): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40874, seq 5, length 64
08:34:37.874609 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x5,icv=0x3207929c319d584c71b0fd7a0b2c0fb1): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40874, seq 5, length 64
08:34:38.039087 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x6,icv=0x3582cf85bb4c6eeb8a1aa2fd683cad9a): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40875, seq 1, length 49
