reading from file /dataset-final/T08/20260903-140540-312/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
08:35:42.282719 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x2fc,icv=0xe0085cd5075642b7dc140da27c6a21f2): IP 10.77.8.10.58617 > 10.77.9.10.5002: UDP, length 1175
08:35:42.282770 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x42,icv=0xcec98eac5fc0e496e448f75db2279b74): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:35:42.294531 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x2fd,icv=0x04088a1b2fe0979fd97a12972cf73c9e): IP 10.77.8.10.58617 > 10.77.9.10.5002: UDP, length 1175
08:35:42.294589 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x43,icv=0xd4cf4e0235fd615ca9a35b33410f134a): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:35:42.312444 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x2fe,icv=0xbec19fc0b6d6c82348bc8ea0a0d5a178): IP 10.77.8.10.58617 > 10.77.9.10.5002: UDP, length 1175
08:35:42.312489 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x44,icv=0xf2db0e55ce8a961e59871d0e9dfde14d): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:35:42.328724 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x2ff,icv=0x7e460d4a7bf202513468a61401b35254): IP 10.77.8.10.58617 > 10.77.9.10.5002: UDP, length 1175
08:35:42.328782 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x45,icv=0x2f9d26374d5b6352391d94c84caff362): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:35:42.334337 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x300,icv=0xce472ec7a93cea11dfb222282b75bcbc): IP 10.77.8.10.58617 > 10.77.9.10.5002: UDP, length 1175
08:35:42.334384 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x46,icv=0x6dfa2a87fa5d689dc3c64a328a323c35): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
08:35:42.349973 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x301,icv=0x3d069942f425db3de91216935d41a372): IP 10.77.8.10.58617 > 10.77.9.10.5002: UDP, length 1175
