reading from file /dataset-final/T08/20260903-140559-247/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
08:36:01.389954 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x63d,icv=0xadc63c4674aacd3c59eef3e400a29e9d): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40876, seq 1, length 64
08:36:01.390006 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x50,icv=0x233ddbcd8f625385d5f148151fac8866): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40876, seq 1, length 64
08:36:02.412655 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x63e,icv=0x7cc1681af6def346fe0bd348c15af3d5): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40876, seq 2, length 64
08:36:02.412718 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x51,icv=0xab55d3c12e55c128726d30b008023242): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40876, seq 2, length 64
08:36:03.436711 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x63f,icv=0xce4a81ec44fb2fc78479638643dcb0f0): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40876, seq 3, length 64
08:36:03.436796 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x52,icv=0xe4a3735fba7bbb461e7b50471f172969): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40876, seq 3, length 64
08:36:04.460712 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x640,icv=0x641fce3943f7c86b4eb52deb6f17b3c6): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40876, seq 4, length 64
08:36:04.460756 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x53,icv=0xb75abbf88c3925d142a67f4f58f1633b): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40876, seq 4, length 64
08:36:05.484771 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x641,icv=0xc38a5addd4121b04ba1dddf130ad4ad5): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40876, seq 5, length 64
08:36:05.484860 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x54,icv=0x421c19aa310e819ed1fcbfbe905a1974): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40876, seq 5, length 64
08:36:05.672974 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x642,icv=0x8640ca98f2be95b2060320564265031e): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40877, seq 1, length 49
