reading from file /dataset-final/T08/20260903-140644-558/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
08:36:46.007897 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x670,icv=0x0e9989c4dbc8c290ab17aeed2232a5a2): IP 10.77.8.10.58535 > 10.77.9.10.5001: UDP, length 96
08:36:46.007942 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x83,icv=0x60e4a10fbdc09f953f102bc60c146edb): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 132
08:36:46.014634 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x671,icv=0x40a0579ac2a176d6ea9fa940f69c8288): IP 10.77.8.10.58535 > 10.77.9.10.5001: UDP, length 96
08:36:46.014668 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x84,icv=0xbac51cdee47b6fb65138705394409be4): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 132
08:36:46.025743 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x672,icv=0xf3be0759010ab12bbbc43fe0980a462a): IP 10.77.8.10.58535 > 10.77.9.10.5001: UDP, length 96
08:36:46.025778 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x85,icv=0x9d1e4d84fab2de894495549ef6ea6d0e): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 132
08:36:46.052815 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x673,icv=0x763f633ad8d0a729662f66aac4e4f4f6): IP 10.77.8.10.58535 > 10.77.9.10.5001: UDP, length 96
08:36:46.052864 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x86,icv=0x8e551dd809958f8bae470bd866923666): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 132
08:36:46.083119 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x674,icv=0x76b6d68a20a6b5f6a2d0359efc0fe29c): IP 10.77.8.10.58535 > 10.77.9.10.5001: UDP, length 96
08:36:46.083177 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcfbfdfe4,seq=0x87,icv=0xe9f83f6fbcbb5727b3ad532042ef6cb3): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5001 unreachable, length 132
08:36:46.093492 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xced0fe06,seq=0x675,icv=0x01762a35d5fd3454ed9d758aba875289): IP 10.77.8.10.58535 > 10.77.9.10.5001: UDP, length 96
