reading from file /dataset-final/T08/20260903-145758-285/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
09:28:12.295979 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc35d0fc6,seq=0x1,icv=0x7836cac51a74d877a65a58ef0c90bb0f): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40930, seq 1, length 64
09:28:12.296052 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcf63a732,seq=0x1,icv=0xedc872c21e22e360f50704e45a070c24): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40930, seq 1, length 64
09:28:13.313481 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc35d0fc6,seq=0x2,icv=0xa0e0701e4ee588938f330b0eb9432d5d): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40930, seq 2, length 64
09:28:13.313540 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcf63a732,seq=0x2,icv=0x1685f18278ad07367119ecd38500fe3f): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40930, seq 2, length 64
09:28:14.337650 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc35d0fc6,seq=0x3,icv=0x4eb159bd109a88fe3a775db7687d6436): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40930, seq 3, length 64
09:28:14.337721 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcf63a732,seq=0x3,icv=0x2cd9b698e9af23063b21a4ccb344bd65): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40930, seq 3, length 64
09:28:15.361386 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc35d0fc6,seq=0x4,icv=0x358e7f382ffbff46b148891d5cf7dc1e): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40930, seq 4, length 64
09:28:15.361420 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcf63a732,seq=0x4,icv=0x3b9265ec71c9dfe9a2950a94e232d1ef): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40930, seq 4, length 64
09:28:16.385560 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc35d0fc6,seq=0x5,icv=0x8bb01f96a3cae20d3bd651951f3d8930): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40930, seq 5, length 64
09:28:16.385629 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xcf63a732,seq=0x5,icv=0x04e88f2f101903765e324c1722e26410): IP 10.77.9.10 > 10.77.8.10: ICMP echo reply, id 40930, seq 5, length 64
09:28:16.597278 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc35d0fc6,seq=0x6,icv=0x615361abeab2b6ea71d09fdfb6b01531): IP 10.77.8.10 > 10.77.9.10: ICMP echo request, id 40931, seq 1, length 73
