reading from file /dataset-final/T08/20260903-150709-920/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
09:37:11.488628 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc9377d8d,seq=0x8cf,icv=0x0994f147cb9dfd1551171bf473a80512): IP 10.77.8.10.38459 > 10.77.9.10.5002: UDP, length 937
09:37:11.488679 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc0e9cd6d,seq=0x90,icv=0x43507984b86602c4ac1bc8558f3d2c3a): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
09:37:11.492897 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc9377d8d,seq=0x8d0,icv=0x6d008dd3be04bdbe8f6e7d62f56bda82): IP 10.77.8.10.38459 > 10.77.9.10.5002: UDP, length 937
09:37:11.492931 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc0e9cd6d,seq=0x91,icv=0xf6b7b50324c040494bab86a244a38051): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
09:37:11.505688 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc9377d8d,seq=0x8d1,icv=0x91ae34e8fe46254af63bce0e22c0daae): IP 10.77.8.10.38459 > 10.77.9.10.5002: UDP, length 937
09:37:11.505750 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc0e9cd6d,seq=0x92,icv=0xb15891ec00ff55b2f79285d60313719c): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
09:37:11.524664 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc9377d8d,seq=0x8d2,icv=0xdfcb04277ba1e70fcfd3e041fcfcb9c5): IP 10.77.8.10.38459 > 10.77.9.10.5002: UDP, length 937
09:37:11.524742 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc0e9cd6d,seq=0x93,icv=0x05eed7dd2abfaeffe1203e16d93ec82b): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
09:37:11.541977 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc9377d8d,seq=0x8d3,icv=0xdf6dd6009529c233d1d049afa0ee686b): IP 10.77.8.10.38459 > 10.77.9.10.5002: UDP, length 937
09:37:11.542040 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc0e9cd6d,seq=0x94,icv=0xa08a2350206e6b91342403e1f9068bd4): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
09:37:11.548981 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc9377d8d,seq=0x8d4,icv=0xc3a9db3c71468d7017a1c51886f682f6): IP 10.77.8.10.38459 > 10.77.9.10.5002: UDP, length 937
09:37:11.549025 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc0e9cd6d,seq=0x95,icv=0x95e48c56a4b390e683395b2c691c149a): IP 10.77.9.10 > 10.77.8.10: ICMP 10.77.9.10 udp port 5002 unreachable, length 556
09:37:11.551821 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc9377d8d,seq=0x8d5,icv=0xe0af45e746e04110007b270245843df2): IP 10.77.8.10.38459 > 10.77.9.10.5002: UDP, length 937
09:37:11.563723 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc9377d8d,seq=0x8d6,icv=0x43dea8441bd05e7e12fd6fe1ce5e1957): IP 10.77.8.10.38459 > 10.77.9.10.5002: UDP, length 937
