reading from file /dataset-final/T09/20260903-140019-510/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
08:30:21.366542 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcc630cae,seq=0xc7,icv=0x924d5122bcf19acbc359c45f0d4ede06): 40915 > 5002: UDP, length 1399
08:30:21.366591 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc2550ec6,seq=0x31,icv=0x2299e05d47c68ccb8fa781c092f5dd0b): ICMP 10.77.0.20 udp port 5002 unreachable, length 556
08:30:21.375303 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcc630cae,seq=0xc8,icv=0x66b0ac8f43883441c2939934bf854984): 40915 > 5002: UDP, length 1399
08:30:21.375327 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc2550ec6,seq=0x32,icv=0x2d6af6903e3fa8149762653b722252f6): ICMP 10.77.0.20 udp port 5002 unreachable, length 556
08:30:21.378984 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcc630cae,seq=0xc9,icv=0xc6a0be2e49560196ff93204f8a282979): 40915 > 5002: UDP, length 1399
08:30:21.379027 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc2550ec6,seq=0x33,icv=0x28ccd5a612efc3d2b8ce62a0750bf625): ICMP 10.77.0.20 udp port 5002 unreachable, length 556
08:30:21.391194 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcc630cae,seq=0xca,icv=0x1aa342a8b3207ea98beb9622224dab49): 40915 > 5002: UDP, length 1399
08:30:21.391253 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc2550ec6,seq=0x34,icv=0x0397b8470d2aef86be888645d9d01b19): ICMP 10.77.0.20 udp port 5002 unreachable, length 556
08:30:21.403071 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcc630cae,seq=0xcb,icv=0x3163a73f3bc213546482c4adbc2660ec): 40915 > 5002: UDP, length 1399
08:30:21.403140 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc2550ec6,seq=0x35,icv=0x3ab48d8a5417effb99340af5c04cafcc): ICMP 10.77.0.20 udp port 5002 unreachable, length 556
08:30:21.405390 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xcc630cae,seq=0xcc,icv=0x4f2b388b2cf91a15ec2784fcb2d3bc1a): 40915 > 5002: UDP, length 1399
