reading from file /dataset-final/T09/20260903-150741-197/capture.pcap, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144
Warning: interface names might be incorrect
09:37:54.665764 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc62f4387,seq=0x1,icv=0xc1b575bfc4f2206a45a041dfa673339b): ICMP echo request, id 40938, seq 1, length 64
09:37:54.666300 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc950c0b0,seq=0x1,icv=0x2585ae6c9e121c9f931fa76a524e9cd5): ICMP echo reply, id 40938, seq 1, length 64
09:37:55.667070 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc62f4387,seq=0x2,icv=0x6b8aa280c1c3eec0e3a0e83164a1f258): ICMP echo request, id 40938, seq 2, length 64
09:37:55.667142 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc950c0b0,seq=0x2,icv=0x33978c5d5f99e9046786668a8a8285c6): ICMP echo reply, id 40938, seq 2, length 64
09:37:56.691216 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc62f4387,seq=0x3,icv=0x505e048db5a10eb500af3d23bf45761a): ICMP echo request, id 40938, seq 3, length 64
09:37:56.691320 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc950c0b0,seq=0x3,icv=0x1135548404fc6d027cbbd33b9a5047fb): ICMP echo reply, id 40938, seq 3, length 64
09:37:57.715165 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc62f4387,seq=0x4,icv=0x00b3d979067af72fdf9b1d4ac3a7a8fe): ICMP echo request, id 40938, seq 4, length 64
09:37:57.715236 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc950c0b0,seq=0x4,icv=0xb730e6a9e5c0ba95c4949956e740c93d): ICMP echo reply, id 40938, seq 4, length 64
09:37:58.739218 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc62f4387,seq=0x5,icv=0xc87e2f971d0b5636218f703d04626955): ICMP echo request, id 40938, seq 5, length 64
09:37:58.739328 eth1  In  IP 10.77.0.20 > 10.77.0.10: AH(spi=0xc950c0b0,seq=0x5,icv=0x1fb0672d5432d7f232d13b4cdca165f3): ICMP echo reply, id 40938, seq 5, length 64
09:37:58.916157 eth1  Out IP 10.77.0.10 > 10.77.0.20: AH(spi=0xc62f4387,seq=0x6,icv=0x50fbe7f3cbeef2101e954a3b6a8a53e2): ICMP echo request, id 40939, seq 1, length 65
