reading from file /dataset-v2/T15/20260903-173448-294/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:05:00.808481 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0x2), length 184
12:05:00.808577 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0x2), length 184
12:05:00.834293 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0x3), length 184
12:05:00.834443 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0x3), length 184
12:05:00.852535 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0x4), length 184
12:05:00.852710 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0x4), length 184
12:05:00.878009 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0x5), length 184
12:05:00.878312 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0x5), length 184
12:05:00.906701 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0x6), length 184
12:05:00.906914 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0x6), length 184
12:05:00.927122 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0x7), length 184
12:05:00.927374 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0x7), length 184
12:05:00.953954 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0x8), length 184
12:05:00.954168 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0x8), length 184
12:05:00.982099 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0x9), length 184
12:05:00.982234 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0x9), length 184
12:05:01.010983 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0xa), length 184
12:05:01.011206 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0xa), length 184
12:05:01.030584 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0xb), length 184
12:05:01.030691 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0xb), length 184
12:05:01.053860 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0xc), length 184
12:05:01.054085 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0xc), length 184
12:05:01.082294 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0xd), length 184
12:05:01.082528 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0xd), length 184
12:05:01.106900 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0xe), length 184
12:05:01.107153 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0xe), length 184
12:05:01.133491 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0xf), length 184
12:05:01.133633 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc26b16bd,seq=0xf), length 184
12:05:01.162299 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcf56a403,seq=0x10), length 184
