reading from file /dataset-v2-final/T15/20260903-173914-044/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:09:29.181529 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0x3), length 152
12:09:29.181590 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0x3), length 152
12:09:30.196544 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0x4), length 152
12:09:30.196600 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0x4), length 152
12:09:31.220309 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0x5), length 152
12:09:31.220357 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0x5), length 152
12:09:32.244502 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0x6), length 152
12:09:32.244583 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0x6), length 152
12:09:33.268380 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0x7), length 152
12:09:33.268430 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0x7), length 152
12:09:33.412708 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0x8), length 136
12:09:33.412753 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0x8), length 136
12:09:33.971321 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0x9), length 136
12:09:33.971399 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0x9), length 136
12:09:34.547240 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0xa), length 136
12:09:34.547296 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0xa), length 136
12:09:35.123147 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0xb), length 136
12:09:35.123186 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0xb), length 136
12:09:35.699354 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0xc), length 136
12:09:35.699432 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0xc), length 136
12:09:36.275323 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0xd), length 136
12:09:36.275376 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0xd), length 136
12:09:36.851301 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0xe), length 136
12:09:36.851387 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0xe), length 136
12:09:37.427295 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0xf), length 136
12:09:37.427347 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0xf), length 136
12:09:38.003267 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc13239ed,seq=0x10), length 136
12:09:38.003316 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc87c0d37,seq=0x10), length 136
